Designation In English,المسمى الوظيفي بالإنجليزي
Next Depreciation Date,تاريخ الإستهلاك المقبل
Cost Center Name,اسم مركز تكلفة جديد
Asset Category Name,اسم فئة الأصول
Billing Country,دولة الفاتورة
Shipping Country,دولة الشحن
Shipping County,مقاطعة الشحن
Billing County,مقاطعة الفاتورة
Profit and Loss Statement,بيان الربح والخسارة
Accounts Receivable Summary,ملخص الذمم المدينة
Excise Entry,قيد الإستهلاك
account_name,اسم الحساب
Account Name,اسم حساب جديد
items,أصناف
Exchange Gain / Loss Account,حساب تبادل الربح/الخسارة
Letter Head,ترويسة الرسالة
Default Letter Head,ترويسة الرسالة
Activity Cost,تكلفة النشاط
Write Off Entry,قيد مشطوب
Depreciation Entry,قيد الإهلاك
Opening Entry,قيد مفتوح
Credit Card Entry,قيد بطاقة الإئتمان
Cash Entry,قيد نقدي
Entry Type,نوع القيد
Series for Asset Depreciation Entry (Journal Entry),سلسلة إهلاك الأصول (إدخال دفتر اليومية)
Invoice Posting Date,تاريخ نشر الفاتورة
Period Closing Voucher,قسيمة انتهاء الفترة
Supplier Invoice Date,تاريخ فاتورة المورد
Payment Type,نوع الدفع
Bank / Cash Account,حساب البنك /النقدي
Reconcile,تسوية
Payment Reconciliation,تسوية الدفع
Global Defaults,الإعدادات الافتراضية العالمية
Sales Partners and Territory,شركاء المبيعات والمناطق
Supplier Type,نوع المورد
Landed Cost Voucher,قسيمة هبوط التكلفة
Search Term,البحث عن
Required Qty,الكمية المطلوبة
Raw Material Item Code,رمز صنف المواد الخام
Supplier Warehouse,مستودع المورد
Email Digest,حصاد البريد الإلكتروني
POS,نقاط البيع
Sales Partners Commission,عمولة شركاء المبيعات
To Bill,إلى الفاتورة
"Optional. Sets company's default currency, if not specified.",اختياري.لتعيين العملة الافتراضية للشركة،إذا لم يتم تحديدها.
.Due Date cannot be before Posting Date,التاريخ المحدد لا يمكن أن يكون قبل تاريخ النشر.
Total Monthly Sales,مجموع المبيعات شهريا
Default Inventory Account,حساب المخزون الافتراضي
Enable Perpetual Inventory,تفعيل المخزون بشكل دائم
Validity in Days,الصلاحية في أيام
Bank Guarantee Number,رقم الضمان البنكي
Bank Guarantee,الضمان البنكي
New ToDo,جديد قائمة المهام
Setting up Email,إعدادات البريد الإلكتروني
Auto,تلقاءي
Resource Owner Password Credentials,وثائق كلمة مرور مالك المورد
Grant Type,نوع المنحة
Please enter values for App Access Key and App Secret Key,الرجاء إدخال بيانات مفتاح الوصول للتطبيقات ومفتاح سر التطبيقات
API Secret,سر API
Email Group Member,عضو مجموعة البريد الإلكتروني
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.",إذا تم تمكينه، فسيتم إشعار المستخدمين في كل مرة يسجلون فيها الدخول. إذا لم يتم تمكينه، فسيتم إشعار المستخدمين مرة واحدة فقط.
Notify Users On Every Login,إشعار المستخدمين عند كل تسجيل دخول
Notify users with a popup when they log in,إشعار المستخدمين بالنوافذ المنبثقة عند تسجيل الدخول
Public,عام
All Customer Contact,إتصالات جميع العملاء
Only leaf nodes are allowed in transaction,يسمح عقد الأوراق فقط في المعاملة
Campaign,الحملة التسويقية
Minutes to First Response for Opportunity,دقائق للرد الأول على الفرصة
Role Permissions Manager,مدير صلاحيات الأدوار
User Permissions Manager,مدير صلاحيات المستخدم
Issued Items Against Production Order,الأصناف الصادرة مقابل أوامر الانتاج
Show Quantity in Website,إظهار الكمية في الموقع
No salary slip found between 2017-04-30 and 2017-05-31,لا إيصال راتب موجود في هذه الفترة
"Parent Course (Leave blank, if this isn't part of Parent Course)",المقرر الدراسي الأصل (اتركه فارغا إذا لم يكون جزء من المقرر الأصل)
Validate the Student Group from Program Enrollment,التحقق من صحة مجموعة الطلاب من تسجيل البرنامج
About Product Bundle,عن حزمة المنتج
Optional. This setting will be used to filter in various transactions.,اختياري. سيتم استخدام هذا الإعداد للتصفية في المعاملات المختلفة.
Hide Customer's Tax Id from Sales Transactions,إخفاء معرف ضريبة العميل من حركات المبيعات
"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted.",إذا تم تحديده، فإن القيمة المحددة أو المحسوبة في هذا المكون لن تساهم في الأرباح أو الاستقطاعات. ومع ذلك، فإنه يمكن الإشارة إلى القيمة من قبل المكونات الأخرى التي يمكن أن تضاف أو يتم خصمها.
Statistical Component,المكون الإحصائي
Are you sure you want to create Issue from this email,هل أنت متأكد أنك تريد إنشاء مشكلة من هذا البريد الإلكتروني
Missing Values Required,البيانات المفقودة مطلوبة
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,الصفحة التي تبحث عنها مفقودة. قد يكون هذا بسبب نقلها أو وجود خطأ في الرابط.
Mandatory fields required in {0},الحقول التالية والقيم مفقودة:
Tariff Number,رقم التعريفة
Customs Tariff Number,رقم التعريفة الجمركية
Foreign Trade Details,تفاصيل التجارة التجارية
Country of Origin,بلد المنشأ
"To add dynamic subject, use jinja tags like",لإضافة موضوع،استخدم علامات jinja مثل
SMTP Server,خادم SMTP
No Tags,رقم الكلمات
"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.",إذا تم تمكينه، سيتم فرض قوة كلمة المرور استنادا إلى قيمة الحد الأدنى لقيمة كلمة المرور. قيمة 2 كونها متوسطة قوية و 4 قوية جدا.
Enable Password Policy,تمكين سياسة كلمة المرور
"If not set, the currency precision will depend on number format",إذا لم يتم تعيينها، فإن دقة العملة تعتمد على تنسيق الأرقام
Currency Precision,دقة العملة
Default Receivable Account,حساب المقبوضات الافتراضي
Passive,غير فعال
Refresh,تحديث
Templating,القولبة
Standard Reply Example,نموذج على الرد القياسي
"Templates are compiled using the Jinja 
Templating Langauge. To learn more about Jinja,","يتم تجميع القوالب بإستخدام لغة القولبة Jinja
لمعرفة المزيد عن Jinja"
Attendance Freeze Date,تاريخ تجميد الحضور
New Email Group,مجموعة البريد الإلكتروني جديد
Add new row,إضافة سجل جديد
Receipient,المستلم
Ref Type,نوع المرجع
Page Missing or Moved,الصفحة مفقودة أو منقولة
Current Academic Term,الفصل الدراسي الحالي
Current Academic Year,العام الدراسي الحالي
School Settings,اعدادات المدارس
CRM,إدارة علاقات العملاء
Buying,مشتريات
Selling,مبيعات
Lead Owner Efficiency,كفاءة المالك الرئيسي
Campaign Efficiency,كفاءة الحملة
Item Variants,متغيرات الصنف
Available Stock for Packing Items,المخزون المتاح للأصناف المعبأة
Purchase Register,سجل المشتريات
